SSC,Suburb,Population
12224,Tarro,1639
12225,Tascott,1708
12226,Tatham,177
12227,Tathra,1524
12228,Tatton,2183
12229,Taylors Arm,341
12230,Taylors Beach (NSW),96
12231,Tea Gardens,2441
12232,Telarah,2221
12233,Telegraph Point,616
12234,Telopea,5173
12235,Temagog,357
12236,Temora,4410
12237,Tempe,3297
12238,Tenambit,3003
12239,Tennyson (NSW),432
12240,Tennyson Point,1120
12241,Tenterfield,3963
12242,Teralba,1559
12243,Terania Creek,227
12244,Terara,238
12245,Termeil,247
12246,Terramungamine,249
12247,Terranora,2799
12248,Terrey Hills,2977
12249,Terrigal,10612
12250,Teven,248
12251,Tewinga,207
12252,Thalgarrah,228
12253,Tharbogang,677
12254,The Channon,479
12255,The Entrance,3869
12256,The Entrance North,1386
12257,The Hill,1719
12258,The Junction,1501
12259,The Lagoon,246
12260,The Oaks,2435
12261,The Pinnacles,291
12262,The Pocket,363
12263,The Ponds,2932
12264,The Ridgeway,168
12265,The Rock,1056
12266,The Rocks (Sydney - NSW),680
12267,The Slopes,247
12268,The Whiteman,358
12269,Theresa Park,548
12270,Thirlmere,3535
12271,Thirroul,5610
12272,Thora,292
12273,Thornleigh,8105
12274,Thornton (NSW),7848
12275,Thrumster,222
12276,Thurgoona,6155
12277,Tibooburra,262
12278,Tighes Hill,1620
12279,Timbumburi,390
12280,Tingha,1166
12281,Tingira Heights,1963
12282,Tinonee,1055
12283,Tintenbar,771
12284,Tintinhull,408
12285,Tocumwal,2390
12286,Tolland,3551
12287,Tomago,273
12288,Tomakin,885
12289,Tomerong,938
12290,Tomingley,329
12291,Tooleybuc,175
12292,Tooma,336
12293,Toongabbie (NSW),12997
12294,Tooraweenah,370
12295,Toormina,6079
12296,Toowoon Bay,549
12297,Toronto,5443
12298,Torryburn (Dungog - NSW),174
12299,Tottenham (NSW),636
12300,Toukley,4158
12301,Towamba,371
12302,Townsend,820
12303,Towradgi,3121
12304,Towrang,313
12305,Trangie,1252
12306,Tregeagle,510
12307,Tregear,3913
12308,Trundle,665
12309,Trunkey Creek,264
12310,Tucabia,289
12311,Tucki Tucki,273
12312,Tuckombil,266
12313,Tuena,186
12314,Tuggerah,1019
12315,Tuggerawong,1200
12316,Tullamore,377
12317,Tullera,356
12318,Tullibigeal,384
12319,Tullimbar,158
12320,Tumbarumba,1765
12321,Tumbi Umbi,4981
12322,Tumblong,336
12323,Tumbulgum,384
12324,Tumut,6240
12325,Tuncurry,5810
12326,Tura Beach,2924
12327,Turlinjah,228
12328,Tuross Head,2154
12329,Turramurra,11093
12330,Turrella,1597
12331,Turvey Park,3546
12332,Tweed Heads,7535
12333,Tweed Heads South,7909
12334,Tweed Heads West,5827
12335,Tyagarah,156
12336,Tyalgum,504
12337,Tyndale,333
12338,Uki,765
12339,Ulamambri,394
12340,Ulladulla,6081
12341,Ulmarra,782
12342,Ulong,266
12343,Ultimo,7113
12344,Umina Beach,16055
12345,Unanderra,5679
12346,Ungarie,322
12347,Upper Burringbar,282
12348,Upper Corindi,231
12349,Upper Crystal Creek,187
12350,Upper Horton,206
12351,Upper Lansdowne,491
12352,Upper Main Arm,194
12353,Upper Manilla,301
12354,Upper Orara,721
12355,Upper Rollands Plains,382
12356,Uralba,209
12357,Uralla (NSW),2751
12358,Urana,299
12359,Uranquinty,935
12360,Urbenville,444
12361,Urunga,3018
12362,Vacy,545
12363,Vale Of Clwydd,524
12364,Valentine (NSW),5552
12365,Valla,832
12366,Valla Beach,1203
12367,Valley Heights,1381
12368,Varroville,105
12369,Vaucluse,9043
12370,Verges Creek,333
12371,Verona,414
12372,Villawood,5320
12373,Vincentia,2806
12374,Vineyard,1227
12376,Voyager Point,1376
12377,Wadalba,1775
12378,Wagga Wagga,6958
12379,Wagstaffe,193
12380,Wahroonga,16726
12381,Waitara,5368
12382,Wakefield,178
12383,Wakeley,4667
12384,Wakool,473
12385,Walbundrie,217
12386,Walcha,2504
12387,Walgett,2271
12388,Walla Walla,914
12389,Wallabadah,230
12390,Wallabi Point,546
12391,Wallacia,1689
12392,Wallaga Lake,525
12393,Wallagoot,469
12394,Wallalong,935
12395,Wallamore,225
12396,Wallarah,419
12397,Wallarobba,326
12398,Wallaroo (NSW),641
12399,Wallendbeen,307
12400,Wallerawang,1904
12401,Wallsend,12310
12402,Wamberal,6305
12403,Wamboin,1664
12404,Wanaaring,196
12405,Wandandian,441
12406,Wandella (NSW),299
12407,Wangi Wangi,2673
12408,Wantabadgery,298
12409,Warabrook,2091
12410,Waratah (NSW),4776
12411,Waratah West,2662
12412,Wardell,956
12413,Wards River,176
12414,Wareemba,1479
12415,Warialda,1716
12416,Warialda Rail,201
12417,Warilla,6402
12418,Warners Bay,7456
12419,Warnervale,564
12420,Warraderry,183
12421,Warragamba,1238
12422,Warral,403
12423,Warrawee,2905
12424,Warrawong,4761
12425,Warregah Island,182
12426,Warrell Creek,252
12427,Warren,1589
12428,Warri,305
12429,Warriewood,6135
12430,Warrimoo,2343
12431,Warwick Farm,4486
12432,Watanobbi,3782
12433,Waterfall,483
12434,Waterloo (NSW),10661
12435,Waterview Heights,1386
12436,Watsons Bay,926
12437,Watsons Creek (NSW),290
12438,Wattamondara,266
12439,Wattle Flat (NSW),365
12440,Wattle Grove (NSW),8198
12441,Wattle Ponds,1327
12442,Wauchope,5942
12443,Waukivory,357
12444,Waverley (NSW),4256
12445,Waverton,2801
12446,Way Way,202
12447,Wedderburn (NSW),582
12448,Wee Jasper,278
12449,Wee Waa,2094
12450,Weethalle,305
12451,Weilmoringle,155
12452,Welby,735
12453,Wellington (NSW),4062
12454,Wellington Vale,125
12455,Wells Crossing,304
12456,Wentworth (NSW),1249
12457,Wentworth Falls,5940
12458,Wentworth Point,2763
12459,Wentworthville,10593
12460,Werai,249
12461,Werombi,840
12462,Werri Beach,542
12463,Werrington,3847
12464,Werrington County,3677
12465,Werrington Downs,3256
12466,Werris Creek,1736
12467,West Albury,3952
12468,West Ballina,2970
12469,West Bathurst,3843
12470,West Gosford,1393
12471,West Haven,1122
12472,West Hoxton,9127
12473,West Kempsey,4789
12474,West Nowra,1100
12475,West Pennant Hills,15953
12476,West Pymble,5152
12477,West Ryde,11852
12478,West Tamworth,5347
12479,West Wallsend,1717
12480,West Wollongong,4436
12481,West Wyalong,3037
12482,Westdale (Tamworth - NSW),2295
12483,Westleigh,4480
12484,Westmead,14166
12485,Weston (NSW),3671
12486,Wetherill Park,6023
12487,Whalan,5942
12488,Wherrol Flat,308
12490,White Cliffs,104
12491,White Rock (NSW),693
12492,Whitebridge,2566
12493,Whittingham,575
12494,Whitton,380
12495,Whoota,216
12496,Wiangaree,205
12497,Wickham (NSW),953
12498,Wilberforce (NSW),2879
12499,Wilcannia,827
12500,Wildes Meadow,515
12501,Wiley Park,9689
12502,Willawarrin,302
12503,Williamtown,876
12504,Willmot,2482
12505,Willoughby (NSW),5938
12506,Willoughby East,1822
12507,Willow Tree,421
12508,Willow Vale (Wingecarribee - NSW),669
12509,Wilsons Creek,318
12510,Wilton (NSW),1896
12511,Windale,3100
12512,Windang,2595
12513,Windella,594
12514,Windellama,321
12515,Windermere Park,689
12516,Windeyer (NSW),440
12517,Windradyne,2828
12518,Windsor (NSW),1805
12519,Windsor Downs,1290
12520,Wingello,385
12521,Wingen,285
12522,Wingham,5303
12523,Winifred,197
12524,Winmalee,6612
12525,Winston Hills,11193
12526,Winton (NSW),200
12527,Wirlinga,400
12528,Wisemans Ferry,185
12529,Wittitrin,306
12530,Wollar,258
12531,Wolli Creek,2831
12532,Wollombi,351
12533,Wollongbar,2381
12534,Wollongong,16703
12535,Wollstonecraft,8009
12536,Wolumla,877
12537,Wombarra,868
12538,Wombat,245
12539,Wombeyan Caves,264
12540,Wondalga,283
12541,Wongarbon,775
12542,Wongawilli,183
12543,Woodberry,3150
12544,Woodbine (NSW),2645
12545,Woodburn (Richmond Valley - NSW),782
12546,Woodcroft (NSW),6413
12547,Woodenbong,479
12548,Woodford (NSW),1842
12549,Woodford Island,340
12550,Woodlands (Wingecarribee - NSW),151
12551,Woodpark,1326
12552,Woodrising,1187
12553,Woodsreef,134
12554,Woodstock (Cowra - NSW),812
12555,Woodstock (Shoalhaven - NSW),256
12556,Woodview,248
12557,Woodville (NSW),606
12558,Woolbrook,249
12559,Woolgoolga,5056
12560,Wooli,493
12561,Woollahra,7173
12562,Woollamia,642
12563,Woolloomooloo,3721
12564,Woolomin,309
12565,Woolooware,4202
12566,Wooloweyah,409
12567,Woolwich,811
12568,Woomargama,217
12569,Woombah,751
12570,Woongarrah,4510
12571,Woonona,11417
12572,Wootton,220
12574,Woronora,2223
12575,Woronora Heights,2986
12576,Worrigee,4558
12577,Worrowing Heights,342
12578,Woy Woy,10108
12579,Woy Woy Bay,436
12580,Wyalong,855
12581,Wyangala,227
12583,Wyee,2587
12584,Wyee Point,677
12585,Wyndham (NSW),617
12586,Wyoming,9925
12587,Wyong,3628
12588,Wyong Creek,386
12589,Wyongah,1950
12590,Wyrallah,445
12591,Yagoona,16019
12592,Yamba (NSW),6087
12593,Yanco,940
12594,Yanderra,683
12595,Yarrabar,288
12596,Yarrahapinni,347
12597,Yarramalong,469
12598,Yarramundi,865
12599,Yarranbella,321
12601,Yarravel,1059
12602,Yarrawarrah,2986
12603,Yarrawonga (NSW),551
12604,Yarrawonga Park,377
12605,Yarrie Lake,263
12606,Yarrowitch,168
12607,Yarrowyck,220
12608,Yass,6336
12609,Yass River,577
12610,Yattalunga (NSW),528
12611,Yatte Yattah,217
12612,Yellow Rock (Blue Mountains - NSW),912
12613,Yellow Rock (Shellharbour - NSW),415
12614,Yenda (NSW),1506
12615,Yennora,1403
12616,Yeoval,424
12617,Yerong Creek,517
12618,Yerrinbool,1093
12619,Yetholme,252
12620,Yetman,350
12621,Yoogali,928
12622,Yorklea,445
12623,Young,10052
12624,Yowie Bay,3167
12626,Zetland,3811
